CNF 200 200
-134 141 188 0
-189 -19 -1 0
-96 147 151 0
-145 -106 94 0
-110 -82 99 0
-120 -106 149 0
4 67 72 0
35 108 194 0
-165 73 128 0
4 13 78 0
-186 5 106 0
-64 -19 53 0
-176 85 178 0
36 136 193 0
-108 -61 161 0
-183 -164 -52 0
-21 17 177 0
-93 105 135 0
-193 -52 150 0
-104 -70 15 0
-28 26 84 0
-130 -112 57 0
-157 65 193 0
58 67 184 0
-12 74 143 0
-189 -177 151 0
-42 185 190 0
-119 -70 160 0
-87 185 188 0
-200 -56 113 0
-74 156 186 0
94 107 179 0
60 125 186 0
-73 93 147 0
-59 125 140 0
-143 -14 193 0
-196 -128 24 0
-100 -28 197 0
107 170 192 0
-166 4 8 0
-103 -69 104 0
51 130 149 0
-125 -80 63 0
62 160 196 0
17 47 151 0
-179 11 136 0
-82 37 167 0
-9 16 113 0
-49 141 157 0
-166 -54 4 0
-86 91 178 0
-94 53 79 0
-190 -182 62 0
-195 -178 -79 0
-200 -15 62 0
-159 -98 67 0
-122 -85 31 0
-24 44 82 0
-82 101 139 0
-181 -164 -27 0
-199 55 159 0
-144 -85 77 0
-4 67 96 0
-70 -55 122 0
-87 -12 124 0
-135 -94 191 0
-43 75 145 0
-179 -113 64 0
-66 98 103 0
-147 -142 -59 0
-34 -23 48 0
-106 -5 94 0
-99 8 59 0
34 68 84 0
-105 -54 -35 0
-13 138 158 0
-174 -124 132 0
-65 73 111 0
-107 29 164 0
-97 108 153 0
-177 -135 -93 0
-192 32 92 0
-129 130 184 0
-187 -162 -142 0
-188 92 152 0
-183 98 149 0
-152 -144 -90 0
-200 -86 151 0
-54 120 174 0
27 125 187 0
-179 39 68 0
-102 -25 174 0
-61 -21 15 0
-172 -56 170 0
-75 -5 63 0
-108 -69 133 0
-83 30 163 0
-72 20 137 0
-177 -153 -150 0
-51 55 187 0
-14 85 197 0
-20 22 47 0
-54 143 197 0
-147 -84 198 0
-83 -5 103 0
-41 184 194 0
-48 50 174 0
-150 -44 134 0
-160 -93 124 0
-115 34 92 0
-189 -143 196 0
121 178 187 0
-195 40 133 0
-155 -54 42 0
-196 134 146 0
-75 21 156 0
-169 -29 81 0
-163 -41 116 0
-101 -100 19 0
-158 -66 133 0
-183 79 172 0
-107 -101 162 0
-43 30 111 0
-187 -186 124 0
-55 -36 27 0
-172 -116 112 0
-173 -79 66 0
-75 -34 -22 0
-178 102 123 0
-182 -163 -117 0
-42 108 121 0
-146 -53 -9 0
-4 71 78 0
-138 -120 198 0
-77 -5 73 0
-162 -44 118 0
-151 36 167 0
-9 28 104 0
57 97 109 0
-149 -132 -32 0
-122 179 187 0
-200 5 62 0
-151 -45 46 0
-140 -31 -30 0
38 46 88 0
-153 -94 13 0
-131 -128 -62 0
-167 7 12 0
154 173 186 0
-158 -127 -22 0
-137 -53 88 0
-199 -163 -61 0
-102 -98 37 0
-178 -25 94 0
-134 135 161 0
-168 -68 139 0
-189 -83 73 0
-176 -95 -20 0
-188 -53 49 0
-131 91 165 0
-115 -60 104 0
-165 -27 61 0
-127 -35 69 0
-151 -108 131 0
-176 -165 51 0
6 30 129 0
-136 10 78 0
-63 16 107 0
-199 -149 -74 0
-86 -50 71 0
-59 42 71 0
-157 15 131 0
-154 -91 145 0
-125 -20 136 0
-2 45 131 0
-94 107 159 0
-136 78 134 0
-92 133 186 0
94 145 174 0
-77 79 114 0
-39 -7 124 0
-184 -14 53 0
-28 127 138 0
-165 -164 43 0
-23 -15 26 0
104 158 196 0
-103 -70 166 0
37 82 103 0
-189 -165 104 0
-157 -120 -7 0
-102 144 160 0
-163 -145 88 0
-185 -45 172 0
-172 117 119 0
-46 43 70 0
-184 -42 41 0
-171 -155 3 0
-39 100 175 0
-197 -86 58 0
-18 106 175 0
