CNF 200 100
-46 15 145 0
-182 -66 40 0
-34 19 142 0
-113 -82 112 0
-193 -170 112 0
-196 -72 199 0
-49 112 192 0
-149 -133 24 0
-133 -8 85 0
43 70 105 0
-167 -24 38 0
-175 28 163 0
-125 -83 59 0
-138 -137 182 0
-119 36 146 0
-187 -122 -85 0
-100 21 79 0
-146 122 188 0
-153 -65 38 0
-86 153 173 0
-70 30 43 0
-26 -12 121 0
-4 40 164 0
-178 -162 186 0
-192 139 172 0
-173 97 148 0
-104 -40 93 0
-65 -47 78 0
-39 -20 19 0
-196 -180 -61 0
-133 -55 86 0
-188 64 114 0
18 53 118 0
-148 -75 160 0
-130 -34 178 0
48 99 134 0
-34 137 183 0
-110 -44 165 0
-170 -45 88 0
-109 47 56 0
-151 -42 59 0
-146 -123 142 0
-123 -113 -94 0
-124 -110 65 0
-122 98 107 0
-114 -42 143 0
-151 -117 -66 0
-85 -1 191 0
-126 25 162 0
-179 -82 160 0
-167 -50 165 0
-113 -77 -21 0
35 156 170 0
-108 30 133 0
-166 -74 185 0
-71 143 151 0
-127 -21 42 0
-156 -43 74 0
-108 -56 198 0
-191 103 200 0
-152 -121 128 0
-129 -50 185 0
-188 -52 159 0
-58 66 111 0
-96 -14 74 0
-152 -78 14 0
-88 25 165 0
-197 -129 99 0
-170 -24 56 0
-10 41 53 0
-149 39 111 0
-158 -19 -15 0
-52 97 114 0
-47 1 167 0
80 162 187 0
29 112 189 0
-184 -142 -139 0
33 141 182 0
-148 32 180 0
13 113 130 0
40 141 177 0
-185 -161 -141 0
-11 -10 53 0
-166 176 198 0
62 63 126 0
-142 -34 -22 0
-162 165 186 0
-199 -149 -43 0
-73 7 139 0
-101 -2 73 0
-56 103 172 0
-161 -145 -21 0
-200 83 158 0
-99 -42 161 0
-198 -22 58 0
-45 -38 35 0
-83 45 151 0
47 112 185 0
-48 144 172 0
-37 -20 175 0
