CNF 100 200
-100 -16 63 0
-57 -23 28 0
10 30 79 0
-28 43 66 0
-82 33 37 0
52 68 94 0
-67 -60 81 0
-91 -48 96 0
-74 8 40 0
-35 -7 91 0
-85 -4 9 0
50 58 70 0
-43 33 100 0
15 35 63 0
-51 8 46 0
-72 40 58 0
-28 23 46 0
-99 -62 50 0
-65 -1 93 0
77 78 82 0
-86 35 67 0
-74 -64 11 0
17 19 34 0
-78 53 62 0
-100 -53 -10 0
-41 -31 40 0
-22 51 63 0
-8 22 98 0
-71 -31 -19 0
20 45 93 0
-94 -19 -17 0
-69 5 22 0
-79 -33 99 0
-31 44 62 0
-73 -3 45 0
-59 -44 -30 0
-43 74 90 0
-48 -16 2 0
5 45 69 0
-94 64 66 0
-92 -74 39 0
-71 -2 8 0
82 99 100 0
11 20 26 0
-86 -5 55 0
-82 70 96 0
-95 62 84 0
-97 29 30 0
-98 -64 -43 0
-64 -59 -10 0
-7 6 24 0
-52 34 83 0
-46 58 65 0
-88 -77 73 0
-45 -7 8 0
9 26 34 0
-83 -7 19 0
21 66 96 0
-62 -6 87 0
-57 -7 49 0
-64 18 33 0
-77 -30 -1 0
-52 -34 12 0
-80 -13 90 0
33 82 96 0
3 31 88 0
-80 -69 100 0
18 39 89 0
-90 -83 -80 0
-88 -76 4 0
-67 -30 27 0
-75 -27 -10 0
-28 11 17 0
-38 74 81 0
-57 15 93 0
18 71 89 0
-54 -39 30 0
-26 -9 34 0
-1 47 54 0
62 67 100 0
-73 -28 35 0
-68 -8 74 0
-26 -24 25 0
-41 1 76 0
-71 -47 -20 0
-4 27 30 0
31 88 90 0
-12 -1 68 0
-68 -49 34 0
-84 13 26 0
-59 6 60 0
-29 -9 52 0
16 78 80 0
-91 -63 -55 0
-21 -12 69 0
-97 61 77 0
-48 -41 65 0
-70 35 85 0
-87 -11 52 0
-35 -2 85 0
-25 46 59 0
-67 -28 5 0
-56 -9 23 0
-96 -51 76 0
-95 -51 40 0
-99 -55 -21 0
-95 -82 -29 0
-95 -4 93 0
38 69 95 0
-54 -12 100 0
-66 74 75 0
-18 26 96 0
-81 83 95 0
-77 23 44 0
-78 -24 23 0
-99 -54 98 0
-61 -24 69 0
-99 -8 40 0
-8 15 51 0
-43 60 70 0
-64 87 88 0
-62 36 50 0
-82 -48 -9 0
-74 -61 19 0
-98 -17 33 0
-87 14 64 0
-15 31 64 0
-81 22 41 0
-55 -8 21 0
-98 -17 50 0
-99 -42 36 0
15 26 81 0
-77 -50 15 0
4 44 63 0
-90 -76 -45 0
-74 -64 89 0
-27 67 83 0
-93 52 73 0
-77 26 85 0
-35 40 80 0
17 22 90 0
9 28 92 0
-97 -37 12 0
-77 -32 -5 0
-81 -58 -46 0
-90 86 100 0
-31 -14 69 0
-87 -19 43 0
40 67 75 0
-60 -55 78 0
-93 -84 53 0
29 71 96 0
4 5 32 0
-86 -60 -50 0
-57 12 53 0
24 30 42 0
-93 26 99 0
-61 -40 80 0
-92 65 98 0
-63 -25 46 0
-97 -94 -15 0
-100 17 81 0
-22 49 65 0
-14 72 85 0
-82 16 30 0
44 74 80 0
-88 -28 10 0
-87 54 78 0
-53 -28 36 0
-98 -70 87 0
-75 26 80 0
-99 7 94 0
-59 56 76 0
1 56 70 0
-96 -77 -44 0
-65 -2 68 0
-86 -26 10 0
26 38 81 0
-82 -75 -67 0
-78 -76 90 0
-7 -1 99 0
-68 -45 -40 0
-100 13 79 0
-46 68 76 0
-69 -61 57 0
-58 41 84 0
-52 -13 55 0
-90 -24 -18 0
-87 26 46 0
-63 7 39 0
-74 -18 91 0
-39 29 30 0
-49 -46 67 0
-74 -55 -7 0
-77 1 3 0
-90 -27 74 0
-65 -34 6 0
-20 -13 14 0
-93 35 80 0
-67 -26 36 0
