CNF 400 200
-346 -281 -168 0
-32 8 321 0
-114 6 117 0
-158 4 22 0
-234 243 399 0
-87 182 380 0
-254 167 336 0
-76 181 280 0
185 251 282 0
-348 -168 -121 0
-246 -156 379 0
-130 63 197 0
-396 -330 31 0
-196 -91 339 0
-180 -160 351 0
-200 -145 -3 0
-204 46 103 0
-230 215 400 0
-340 250 351 0
-336 -248 340 0
-232 -51 359 0
-369 -104 326 0
222 246 267 0
-233 -192 360 0
-172 23 120 0
152 196 395 0
-152 -125 49 0
-332 -5 172 0
-100 -74 195 0
-120 195 397 0
-331 2 96 0
-375 -126 180 0
-387 21 229 0
185 267 271 0
-327 -259 -140 0
-352 -348 -100 0
11 154 246 0
-320 -237 296 0
-364 -326 281 0
-243 49 323 0
-274 -32 -21 0
-155 66 362 0
-391 8 73 0
-162 74 331 0
103 108 368 0
-259 -19 85 0
-106 63 96 0
-280 251 309 0
-47 352 358 0
-216 -211 267 0
-273 308 311 0
-388 -25 149 0
-38 129 204 0
157 179 319 0
-355 -293 325 0
-89 -13 365 0
-308 -210 149 0
-232 37 228 0
-398 -392 -369 0
-359 -86 20 0
-307 25 94 0
-373 -91 216 0
251 263 307 0
-29 76 141 0
-197 -173 -143 0
161 321 396 0
-368 -310 -94 0
-243 -75 -21 0
-396 -314 -203 0
6 54 274 0
75 168 267 0
-272 -145 330 0
2 32 128 0
-218 -174 194 0
-290 -25 86 0
57 242 297 0
-268 -204 217 0
-144 -72 135 0
-250 41 128 0
-231 -171 290 0
118 138 244 0
-348 -273 -234 0
-386 41 101 0
-250 2 151 0
-53 374 377 0
-49 8 47 0
-373 -7 333 0
-232 96 179 0
-220 -195 394 0
-362 211 247 0
-392 -341 -6 0
-73 121 158 0
-203 -160 116 0
54 178 352 0
-233 237 373 0
-377 -309 39 0
-250 -46 13 0
-295 -75 138 0
-190 163 231 0
-92 239 250 0
-386 -344 80 0
33 249 314 0
-73 -17 244 0
-397 -87 391 0
-246 -214 125 0
-135 -88 99 0
-233 -60 363 0
-261 240 332 0
-335 -106 258 0
-154 295 358 0
-221 -8 54 0
-286 92 352 0
-285 -197 46 0
-176 107 191 0
-8 236 359 0
-283 -192 116 0
-368 -320 -133 0
-346 273 292 0
-90 13 123 0
344 345 347 0
-357 -94 87 0
-11 262 300 0
-389 -208 74 0
-265 -62 344 0
-349 130 293 0
-269 -198 243 0
-30 82 120 0
-183 99 164 0
-216 181 339 0
-72 38 192 0
-285 70 140 0
-127 -68 133 0
-388 -247 18 0
235 351 389 0
-267 249 327 0
-177 -150 42 0
-247 -243 350 0
-158 222 386 0
-251 46 364 0
-292 365 397 0
75 78 188 0
-20 66 342 0
-100 208 355 0
-293 21 249 0
-359 -139 318 0
-208 -176 331 0
-328 33 220 0
-12 69 167 0
-396 -353 -258 0
-208 80 104 0
22 261 368 0
-234 -208 -58 0
-231 -81 -20 0
-102 109 294 0
65 73 361 0
-307 156 312 0
-241 116 137 0
-233 -223 25 0
-170 -50 92 0
-194 -104 371 0
-200 70 259 0
-390 -385 -139 0
-381 -85 305 0
-321 -106 -46 0
-61 -3 132 0
-134 308 359 0
-262 -201 56 0
-367 78 196 0
-258 -189 298 0
-355 60 379 0
-399 22 380 0
-227 -169 352 0
54 79 305 0
128 203 245 0
-78 109 376 0
-285 -240 -186 0
-263 -67 -29 0
-262 11 356 0
-241 194 199 0
-299 19 353 0
-216 89 295 0
-252 -176 5 0
-161 296 379 0
-120 127 341 0
165 206 226 0
-31 66 333 0
-216 8 179 0
-46 54 361 0
42 186 239 0
-376 -186 261 0
261 347 368 0
-233 32 314 0
-363 222 290 0
-321 -236 327 0
-328 -40 236 0
-190 150 284 0
-211 -153 -36 0
-384 -272 326 0
-393 -333 -145 0
-181 110 365 0
