CNF 100 400
-48 -15 -7 0
-71 -16 29 0
31 66 91 0
-59 9 58 0
-17 -16 22 0
-68 -59 73 0
-59 -40 41 0
-54 42 75 0
-90 -60 3 0
-99 -56 -4 0
-90 -21 89 0
-84 -20 38 0
-99 -21 28 0
-80 -40 86 0
-98 62 77 0
-77 -12 61 0
-41 42 50 0
-63 16 50 0
-22 24 91 0
-15 31 86 0
-53 -46 22 0
-32 8 28 0
-22 12 25 0
-84 -37 -8 0
-87 -59 24 0
-26 5 75 0
-95 39 100 0
-8 53 75 0
-78 36 79 0
-16 -12 72 0
-87 -27 25 0
-48 28 37 0
-81 -76 41 0
55 91 95 0
-13 -7 98 0
-86 -33 57 0
-24 -20 52 0
-72 13 45 0
-50 16 95 0
-37 49 51 0
-93 -33 82 0
-53 -45 48 0
49 73 80 0
-66 -53 -32 0
-89 -68 46 0
74 75 76 0
-58 -48 -11 0
-99 80 90 0
-42 3 65 0
-82 -50 63 0
-96 -5 41 0
-74 -71 -23 0
-23 -20 38 0
-93 -21 72 0
29 78 80 0
-36 -17 -14 0
11 43 58 0
-99 -98 77 0
-38 -27 37 0
-94 -55 65 0
-85 -7 2 0
-56 -32 78 0
-46 44 94 0
-48 28 92 0
-9 6 57 0
-62 -35 52 0
-26 -12 7 0
-75 -48 37 0
-43 57 92 0
-4 -2 58 0
-44 56 69 0
-50 -39 52 0
-51 -32 83 0
-72 10 21 0
-61 -57 -24 0
-70 40 84 0
-65 -52 -3 0
-90 -58 50 0
-44 31 66 0
-29 51 88 0
-51 25 52 0
-68 14 28 0
-72 -28 87 0
-49 1 27 0
-98 -22 60 0
-66 29 86 0
-51 -32 62 0
-97 -75 -51 0
-49 -32 60 0
-42 29 38 0
-30 -12 53 0
22 42 52 0
-59 -31 -2 0
-27 68 94 0
-95 36 83 0
66 76 90 0
37 41 47 0
-62 -18 66 0
-99 49 98 0
-70 -64 -37 0
-86 -74 21 0
-91 -29 92 0
-97 -29 14 0
-100 -31 -18 0
12 69 96 0
-29 54 82 0
-75 -27 -20 0
-93 5 18 0
-87 -55 49 0
-74 -22 -18 0
24 32 61 0
-87 -9 48 0
-92 21 23 0
-29 20 60 0
-92 21 55 0
-69 -35 -16 0
-77 36 70 0
-11 33 99 0
2 27 61 0
-29 -23 12 0
22 28 58 0
-76 -51 23 0
-2 49 53 0
-87 33 42 0
48 70 97 0
-23 40 53 0
28 34 46 0
-51 26 93 0
-64 -8 2 0
-56 -33 35 0
-59 -21 52 0
-80 -56 25 0
-17 84 95 0
-17 9 99 0
-66 -38 34 0
-48 -15 60 0
-63 25 53 0
-83 -65 61 0
-89 49 57 0
-89 -75 65 0
-73 4 72 0
-94 -21 22 0
-47 42 63 0
49 78 98 0
-48 -38 65 0
-74 -11 39 0
9 21 34 0
-96 -81 -79 0
-67 22 28 0
-88 56 75 0
-5 66 74 0
-3 4 53 0
30 79 98 0
-46 -45 88 0
5 44 91 0
-99 -19 46 0
-17 14 38 0
-68 -31 76 0
-2 49 66 0
20 21 28 0
-6 -4 44 0
-66 -27 18 0
-70 34 84 0
-73 -28 21 0
-9 11 81 0
-96 -1 29 0
-88 45 74 0
-30 38 63 0
27 34 50 0
30 62 86 0
-99 71 82 0
-9 -8 82 0
-87 -56 -1 0
-80 47 82 0
-33 41 65 0
20 57 87 0
-49 41 68 0
-50 36 79 0
-66 -41 -20 0
-39 -35 -5 0
-45 -2 14 0
-80 -71 37 0
-46 -29 66 0
-98 -48 58 0
-85 -35 14 0
-37 60 84 0
-93 -63 4 0
-12 44 96 0
39 51 75 0
-96 -76 -31 0
23 52 100 0
-41 -3 27 0
-69 24 43 0
-78 -67 -64 0
-96 -70 -59 0
-15 41 68 0
-81 -64 8 0
-49 2 88 0
-40 77 80 0
-29 50 66 0
8 41 58 0
13 66 75 0
-60 -49 62 0
-24 -13 68 0
-73 -5 92 0
-86 -73 -52 0
-59 -30 -14 0
-30 54 57 0
34 78 92 0
-98 -87 66 0
-71 -64 68 0
15 62 90 0
-59 -51 44 0
-78 -46 70 0
-92 -3 17 0
-55 -52 1 0
-32 -4 82 0
-50 -35 -11 0
13 39 40 0
-76 -48 13 0
-28 -14 86 0
-33 -31 88 0
8 78 82 0
-89 -32 99 0
-94 -74 -66 0
60 74 77 0
-66 -17 7 0
-83 -70 95 0
-8 -4 31 0
54 64 86 0
-74 -18 55 0
-76 -37 3 0
-41 -33 -16 0
-50 -31 91 0
-61 -55 40 0
79 92 97 0
-93 -65 -53 0
-23 -1 42 0
-24 9 52 0
-39 67 77 0
-87 -21 86 0
-85 -45 78 0
-79 -17 53 0
-86 -55 -14 0
-54 77 95 0
-26 21 94 0
-92 -47 -35 0
-41 27 65 0
-42 24 83 0
-65 5 68 0
-79 -60 35 0
-67 -57 47 0
2 49 95 0
-52 -16 84 0
6 65 94 0
51 86 87 0
-94 -33 92 0
-92 14 38 0
-53 -51 -34 0
-22 11 41 0
-34 57 83 0
-39 51 57 0
53 65 91 0
-100 -28 86 0
-68 -37 36 0
-43 -15 52 0
-36 31 99 0
-42 23 85 0
-61 -53 -40 0
-10 -7 92 0
-97 2 31 0
-76 -35 9 0
3 28 31 0
-19 -11 32 0
-49 67 78 0
-44 28 29 0
10 71 87 0
-55 66 87 0
-80 -6 36 0
-68 48 100 0
-83 -60 34 0
-22 31 46 0
-59 16 44 0
-69 23 99 0
-28 16 80 0
11 47 91 0
-54 66 82 0
-70 -13 32 0
-87 -84 10 0
25 74 97 0
-36 21 66 0
20 97 99 0
-82 -27 58 0
17 78 85 0
-94 47 70 0
-66 83 85 0
-96 -75 64 0
-90 29 58 0
-52 -34 -22 0
-77 2 67 0
50 73 96 0
-85 17 65 0
-44 -24 -16 0
-88 69 75 0
-70 -37 89 0
-64 -52 -3 0
-98 -58 44 0
-87 81 84 0
-53 55 56 0
-98 41 51 0
-93 -73 17 0
21 87 98 0
25 34 84 0
-79 -20 40 0
-78 -70 -2 0
-6 -3 7 0
-88 -73 80 0
-40 -19 69 0
-35 7 45 0
-71 -58 85 0
-77 3 67 0
-85 -80 73 0
-24 8 19 0
-63 -20 81 0
-2 40 54 0
-68 -32 22 0
-1 30 87 0
-72 -70 -46 0
1 30 56 0
5 46 95 0
13 64 91 0
-5 47 73 0
-26 5 35 0
-78 13 86 0
45 63 87 0
-97 -46 26 0
-90 13 30 0
-53 15 51 0
-6 -2 21 0
-84 -2 39 0
-89 14 52 0
-19 72 81 0
-9 17 23 0
-94 -26 39 0
-72 -63 49 0
-53 3 31 0
-35 -20 31 0
-69 4 98 0
-100 10 51 0
-22 8 56 0
-96 -73 83 0
-76 -33 -13 0
-72 23 85 0
-52 -8 5 0
-88 -41 71 0
-27 -17 61 0
-47 -5 67 0
51 92 96 0
-90 -85 -2 0
-68 17 97 0
-59 -42 4 0
-17 19 53 0
-100 -68 95 0
15 50 92 0
-83 -23 54 0
7 73 97 0
-80 -30 74 0
-100 -99 67 0
-59 -2 44 0
-56 -7 3 0
-13 45 66 0
-55 -15 96 0
-86 -64 35 0
-100 -85 -60 0
-66 -31 55 0
-63 19 41 0
-91 53 90 0
-21 14 16 0
-28 12 93 0
23 53 74 0
-84 58 91 0
-59 -56 72 0
-84 -75 -38 0
-53 13 18 0
7 56 63 0
-64 -55 79 0
5 38 82 0
-59 7 65 0
14 73 99 0
-36 65 69 0
-78 -29 -17 0
-24 75 87 0
-6 62 93 0
-78 -58 52 0
-92 -65 8 0
-40 -21 85 0
-95 -59 -56 0
-95 -29 -26 0
-94 -18 98 0
-29 10 54 0
