CNF 200 400
-107 -58 16 0
-123 -76 -49 0
42 95 184 0
-167 -98 146 0
-146 28 120 0
-69 -50 21 0
-136 7 144 0
-118 -103 24 0
-167 12 120 0
-50 -45 56 0
-130 84 166 0
-124 19 34 0
-188 -39 112 0
-158 47 143 0
-7 101 177 0
-162 -91 115 0
-92 155 176 0
-182 -105 75 0
-193 54 63 0
-65 20 108 0
-100 -21 117 0
-29 102 112 0
-168 -30 148 0
-163 51 146 0
-48 172 185 0
-28 10 138 0
-153 -143 -141 0
-198 -148 -144 0
-192 -176 37 0
-183 -94 -64 0
-136 97 129 0
-46 135 137 0
-185 -103 141 0
-190 -177 6 0
-77 -20 11 0
-144 22 103 0
-35 94 96 0
-141 61 172 0
-121 67 123 0
-195 69 140 0
-110 55 163 0
-160 42 59 0
-115 -39 18 0
-171 -7 97 0
-19 -12 52 0
-159 15 123 0
-165 98 179 0
-108 10 168 0
-92 89 178 0
-141 -89 -1 0
-5 59 179 0
-195 101 191 0
-33 57 148 0
9 106 174 0
-22 -10 89 0
-159 -25 36 0
-198 -153 11 0
-200 -95 177 0
-42 68 122 0
-87 -33 -29 0
-190 -187 25 0
-120 4 35 0
31 101 104 0
-194 -132 -17 0
-199 -166 29 0
-179 -53 -42 0
-71 -46 174 0
-103 -67 181 0
-121 -45 98 0
-89 8 178 0
-67 -11 8 0
69 109 182 0
-192 -111 -87 0
-102 -95 -9 0
-185 -118 -40 0
-198 9 22 0
-148 -75 168 0
-92 133 192 0
-132 40 175 0
-14 120 138 0
-149 -60 -3 0
-115 94 154 0
-141 -139 117 0
83 86 163 0
-73 -47 89 0
-154 -22 57 0
27 100 129 0
10 44 98 0
-168 56 138 0
45 50 65 0
-3 32 143 0
-145 -43 96 0
-127 11 150 0
-49 -27 96 0
-185 -118 38 0
-31 149 182 0
-152 44 88 0
-164 12 190 0
-139 109 183 0
-154 -123 109 0
-117 15 159 0
-137 -62 4 0
90 167 177 0
-165 -7 135 0
16 32 126 0
-148 -34 190 0
-176 -22 194 0
-127 162 184 0
-134 -104 -49 0
-133 -96 110 0
-113 -82 46 0
-60 57 91 0
-60 -46 89 0
-114 -85 176 0
-89 -45 175 0
-173 -51 5 0
-200 35 194 0
-47 -43 -19 0
-187 -181 -166 0
-199 4 86 0
-183 -148 18 0
-161 -10 132 0
8 139 184 0
-192 -132 -30 0
-118 -116 57 0
-179 8 66 0
-41 51 126 0
-171 7 53 0
60 91 174 0
-134 -27 63 0
10 47 135 0
-196 -11 30 0
-196 -117 -56 0
-195 -149 6 0
-32 25 102 0
-180 -97 -64 0
-136 -28 98 0
-132 110 116 0
-124 -31 -30 0
-92 53 86 0
-40 122 162 0
-163 -110 -31 0
-198 136 165 0
-60 84 85 0
-200 -9 17 0
-189 127 134 0
-143 -27 1 0
-72 147 163 0
-160 30 99 0
-133 -112 71 0
-116 -59 149 0
-37 124 171 0
-100 49 198 0
15 35 75 0
-147 -33 71 0
36 115 176 0
-45 -22 111 0
-74 -48 30 0
-175 -131 -123 0
-143 118 153 0
-164 -107 19 0
-175 -157 131 0
-121 -19 103 0
-19 120 134 0
-107 148 185 0
-131 -111 -56 0
-83 -16 187 0
-134 -132 41 0
-161 -50 60 0
-120 -102 -53 0
-197 -98 -61 0
-188 -133 148 0
13 128 160 0
15 78 192 0
-99 -62 76 0
-120 89 157 0
-56 77 126 0
59 119 123 0
-124 -24 17 0
-178 -66 169 0
-152 61 96 0
-165 -116 -25 0
-163 -129 -12 0
-176 -156 184 0
-135 17 29 0
-176 92 131 0
-50 -43 142 0
-161 19 165 0
-125 -56 157 0
-155 70 90 0
-187 -149 94 0
-194 -106 -47 0
-54 109 173 0
-78 -26 127 0
-188 -4 158 0
10 66 73 0
-152 7 104 0
-195 -134 118 0
-1 120 132 0
-158 41 128 0
-96 -9 67 0
-158 -70 -22 0
-117 37 85 0
-69 50 127 0
-178 -96 57 0
-150 -115 -109 0
-35 6 165 0
-88 51 197 0
54 99 132 0
8 111 164 0
-128 -127 -7 0
-153 31 105 0
-190 -95 66 0
-1 117 195 0
-188 -162 -64 0
141 179 195 0
16 136 156 0
-179 -55 90 0
3 65 192 0
38 81 143 0
-198 -32 50 0
-128 -37 191 0
-128 14 76 0
-15 148 177 0
-11 13 28 0
-144 -124 11 0
-85 -82 10 0
24 159 195 0
-172 10 128 0
-12 -3 85 0
-198 -156 -88 0
11 87 144 0
-197 166 168 0
-70 -48 -10 0
-127 -98 29 0
-178 -79 34 0
48 141 159 0
-126 20 135 0
-152 -102 -45 0
-51 -42 26 0
-5 78 84 0
-185 -67 190 0
-137 19 161 0
-195 -126 -59 0
-166 -77 180 0
-110 152 171 0
-193 -183 26 0
-200 -77 47 0
-197 3 101 0
-88 32 102 0
-121 -81 173 0
-107 18 38 0
-187 -106 67 0
-133 -23 130 0
-155 20 170 0
-177 -163 -161 0
-84 -53 32 0
-187 70 164 0
