CNF 400 400
-394 -171 280 0
-205 325 328 0
-273 -214 77 0
-396 194 287 0
-143 -38 238 0
-277 -152 -120 0
-227 -202 185 0
-97 38 182 0
-202 -72 12 0
-376 -52 213 0
-188 114 367 0
-325 -230 316 0
-399 -25 189 0
-306 -114 47 0
-60 44 358 0
-244 14 338 0
-353 -73 -30 0
-394 -129 334 0
114 148 371 0
-236 66 292 0
71 191 357 0
141 246 384 0
-251 -186 314 0
-239 -166 296 0
-265 97 376 0
-373 -2 7 0
-372 -148 394 0
-247 -71 -55 0
-350 -100 365 0
-34 232 311 0
-208 260 357 0
16 68 387 0
-338 -242 115 0
-255 24 390 0
-240 52 147 0
-99 60 116 0
-291 201 297 0
-190 321 390 0
-153 -134 400 0
-333 -318 235 0
-222 34 319 0
-299 -78 367 0
-157 266 298 0
-165 -134 -81 0
-40 -30 360 0
-391 -65 173 0
-276 116 249 0
-77 211 254 0
-199 214 399 0
-329 -3 368 0
-316 78 237 0
-239 208 214 0
-365 109 369 0
233 243 351 0
-277 -130 89 0
-150 139 349 0
-118 -101 364 0
-335 -144 -41 0
-231 -161 289 0
-16 317 322 0
-351 -305 260 0
-257 -26 152 0
-393 -166 143 0
-76 -66 309 0
46 162 254 0
161 263 333 0
-225 -74 12 0
154 222 265 0
54 153 380 0
-287 63 283 0
159 249 255 0
-207 -21 45 0
-249 -109 -39 0
-392 6 249 0
-63 -45 32 0
-56 26 117 0
-241 -36 395 0
106 332 368 0
-228 -137 178 0
-301 180 193 0
101 274 394 0
128 172 381 0
-89 -23 99 0
-362 339 384 0
-338 278 309 0
-5 56 97 0
-370 -107 230 0
-316 -36 131 0
-380 -273 92 0
-141 -20 -10 0
-202 61 134 0
-363 -94 20 0
-242 -139 393 0
-293 -120 213 0
-375 -317 121 0
139 170 374 0
-235 21 36 0
-366 195 364 0
-270 54 343 0
-68 127 359 0
-341 -158 -57 0
-67 -9 314 0
97 285 357 0
-344 326 365 0
-167 157 296 0
-156 222 265 0
-78 319 396 0
-104 -58 286 0
-44 212 267 0
46 205 324 0
-35 23 163 0
-224 -111 363 0
-299 38 325 0
-341 -84 48 0
-394 -277 -262 0
-197 -67 333 0
-384 204 292 0
-383 -143 305 0
-34 46 176 0
-202 186 273 0
-248 -237 -11 0
-380 -336 -110 0
-227 -85 105 0
-283 -5 238 0
-117 341 362 0
-394 -166 317 0
-235 -234 101 0
139 164 224 0
-211 4 247 0
