CNF 400 100
77 90 118 0
-327 -194 358 0
-345 -5 116 0
93 257 339 0
-266 -130 162 0
-174 199 305 0
56 62 322 0
62 100 163 0
-322 49 156 0
-149 -47 181 0
-385 -138 286 0
-396 -22 113 0
120 168 214 0
-247 -230 199 0
-317 -300 131 0
-329 -266 179 0
-59 29 369 0
11 181 341 0
-311 -160 135 0
130 263 308 0
-204 -136 158 0
-385 -346 -209 0
-249 -92 353 0
-377 -320 241 0
-138 288 337 0
-25 160 267 0
-272 -45 347 0
26 34 376 0
-244 -232 157 0
-379 -375 -328 0
-210 38 182 0
-281 208 368 0
-339 -62 132 0
-240 226 235 0
-389 36 336 0
-335 -258 -256 0
-252 -67 323 0
-21 190 296 0
-246 -11 316 0
-346 -155 -139 0
-313 -179 23 0
-211 -60 74 0
-278 -44 187 0
-279 -76 11 0
-219 -77 126 0
53 59 133 0
-57 14 60 0
-192 -142 164 0
-81 -41 234 0
-183 129 324 0
-124 -8 384 0
-256 -249 126 0
89 104 235 0
-181 -88 -79 0
-264 14 319 0
-292 -179 230 0
-230 -62 83 0
-50 161 274 0
-208 -9 47 0
-214 64 284 0
-400 -255 -118 0
-359 -6 40 0
-311 305 381 0
91 105 179 0
21 164 345 0
-349 -311 289 0
191 254 257 0
-390 -304 102 0
-289 -144 349 0
-176 -41 324 0
-94 -4 108 0
-181 207 241 0
-156 89 333 0
-223 -2 44 0
-276 -258 148 0
59 316 320 0
-49 25 91 0
-185 117 303 0
-220 251 333 0
-89 10 312 0
-258 -93 197 0
-391 -390 -361 0
-390 -186 396 0
-181 -31 30 0
225 256 317 0
-332 51 142 0
-56 30 46 0
-244 298 360 0
-20 44 73 0
-332 124 169 0
-336 4 369 0
-154 -150 -37 0
-385 -312 19 0
-97 27 169 0
5 41 295 0
-362 183 384 0
109 166 242 0
-309 -98 256 0
-363 -5 305 0
222 269 291 0
