CNF 200 100
-160 -159 119 0
-30 75 88 0
-178 6 71 0
-188 -155 -128 0
-97 -92 107 0
-161 169 191 0
-198 87 184 0
-116 -46 151 0
-107 -57 5 0
-135 160 161 0
114 163 196 0
-79 182 191 0
-143 -43 58 0
2 118 175 0
-130 165 190 0
-103 -3 117 0
-98 -27 145 0
-196 -110 156 0
-153 105 145 0
-80 52 119 0
-117 -73 144 0
-148 -91 7 0
-154 -126 144 0
121 183 197 0
-58 -1 44 0
2 39 64 0
-170 -125 195 0
-134 -17 90 0
-72 65 88 0
-35 -16 162 0
-78 -46 19 0
40 89 100 0
-23 101 163 0
-105 109 123 0
-111 -97 101 0
-78 -28 -3 0
-76 125 168 0
-186 -140 80 0
-105 27 163 0
-157 97 150 0
83 123 134 0
-47 135 165 0
-14 70 176 0
-171 -129 -86 0
-161 -125 -74 0
-149 -116 42 0
-155 -91 -83 0
-194 36 121 0
-134 -44 119 0
-194 75 146 0
-11 58 182 0
2 84 133 0
-180 -127 182 0
71 146 175 0
-123 50 90 0
-55 -52 121 0
-197 -35 108 0
-188 -135 90 0
-160 -105 -29 0
-129 -40 182 0
8 30 142 0
-176 97 197 0
-185 -180 146 0
-169 -68 182 0
-77 57 147 0
-200 -65 77 0
55 146 189 0
-44 9 92 0
-42 -18 40 0
-102 -78 -13 0
71 146 182 0
-163 -116 -72 0
-74 34 152 0
-115 -100 123 0
-93 132 190 0
-45 -17 127 0
-122 -80 101 0
-86 -77 112 0
-185 -45 -43 0
-137 -6 123 0
-72 -67 10 0
-194 95 100 0
-166 39 66 0
-156 73 192 0
-10 54 182 0
-69 -50 180 0
-135 19 140 0
-132 -36 26 0
-112 -24 185 0
-107 17 155 0
-173 51 134 0
125 152 161 0
-177 79 151 0
-134 -42 89 0
-185 126 166 0
25 84 184 0
-168 -162 -12 0
-66 -58 -32 0
-2 55 73 0
-175 -157 179 0
