CNF 200 50
-101 68 132 0
-114 -41 51 0
-177 -102 75 0
-40 21 66 0
-106 76 80 0
-98 -67 89 0
-67 66 138 0
-21 82 148 0
-47 109 115 0
-137 -17 176 0
-47 50 63 0
-154 -31 137 0
-131 -45 198 0
-38 174 195 0
-50 168 184 0
-169 15 192 0
-116 -16 94 0
-96 -23 191 0
-171 33 132 0
-114 -95 89 0
57 95 176 0
-30 107 141 0
-110 -32 124 0
-138 -134 195 0
-191 -182 79 0
-103 -62 184 0
-175 52 186 0
-192 63 77 0
-199 -113 -37 0
68 87 146 0
-180 -167 126 0
-21 7 61 0
-86 -67 -26 0
21 41 81 0
45 137 156 0
8 153 175 0
-142 -131 184 0
-110 -25 107 0
-78 -30 7 0
-174 -157 -6 0
-29 -2 134 0
-174 15 141 0
-134 24 55 0
-154 -88 -1 0
-167 -150 -149 0
27 104 126 0
-144 13 155 0
65 82 199 0
3 138 184 0
-144 -67 19 0
