CNF 50 50
-3 5 33 0
-35 -17 -3 0
18 25 33 0
-44 -7 10 0
-49 -43 38 0
-41 -5 21 0
-40 -36 15 0
20 23 39 0
-7 22 35 0
-35 -21 -14 0
21 30 49 0
16 25 28 0
-49 -42 -34 0
-38 -26 31 0
-28 -8 -4 0
-31 -4 16 0
-42 17 20 0
-34 20 32 0
-47 -14 45 0
-21 -10 29 0
-25 3 34 0
-36 1 3 0
13 28 35 0
-42 -39 32 0
-2 -1 45 0
-45 -28 -7 0
-37 -35 -24 0
-23 -17 21 0
-48 -40 -7 0
-42 47 48 0
-4 16 45 0
16 22 31 0
-46 4 49 0
-46 11 34 0
-41 4 16 0
12 31 49 0
-44 -23 1 0
-33 -14 18 0
-37 -26 14 0
-48 -33 46 0
-46 -18 -14 0
-28 -25 33 0
1 40 46 0
-37 -32 21 0
-6 16 17 0
-27 39 42 0
-33 30 48 0
35 43 45 0
-11 4 31 0
-39 20 40 0
