CNF 200 200
-149 -98 101 0
41 135 143 0
-54 74 97 0
-198 -97 -54 0
-171 -116 122 0
-90 62 130 0
-58 54 197 0
-88 160 200 0
-57 186 196 0
-163 -105 -87 0
-36 42 90 0
-195 -94 31 0
60 95 178 0
-139 -128 33 0
27 63 167 0
-170 -17 197 0
-57 -5 33 0
-112 -103 30 0
-196 -185 -155 0
-23 1 154 0
-192 -16 47 0
-34 163 169 0
-107 79 90 0
-140 34 188 0
20 123 174 0
-158 33 93 0
-92 72 137 0
-169 -64 102 0
-111 -56 196 0
37 81 168 0
-57 82 195 0
-183 -80 14 0
-177 -136 181 0
-167 -159 -55 0
-117 120 169 0
-160 50 120 0
-163 -110 -23 0
-200 113 169 0
-117 -13 157 0
-38 3 119 0
-53 -10 192 0
-193 -49 74 0
41 89 125 0
-172 -135 154 0
-60 30 62 0
41 64 194 0
25 68 151 0
-101 -2 24 0
-49 -12 72 0
-36 -32 133 0
-97 -24 33 0
-72 40 194 0
-148 -81 65 0
-189 -152 177 0
-40 48 133 0
-176 20 46 0
-164 -126 56 0
-175 -174 69 0
-135 -52 50 0
-198 -159 -82 0
-141 -62 28 0
-121 -38 1 0
-174 -25 56 0
-176 -149 48 0
-110 35 169 0
-120 -119 -116 0
-172 69 105 0
-81 -29 -6 0
-74 -15 182 0
-194 -185 146 0
-76 185 188 0
-134 45 68 0
-200 -152 -151 0
-190 3 175 0
10 35 167 0
-69 65 116 0
-34 -4 155 0
-153 60 145 0
24 143 150 0
-91 -82 2 0
25 181 182 0
-78 99 192 0
-130 -45 115 0
-177 -115 195 0
-192 -13 135 0
-167 9 185 0
-162 -9 112 0
-57 114 170 0
-191 15 198 0
-41 85 166 0
-155 -145 198 0
-128 -119 199 0
-91 -20 136 0
-85 134 137 0
-184 -67 -28 0
-138 57 124 0
-152 -82 48 0
-171 -150 -43 0
-134 -29 177 0
-34 -10 24 0
-67 57 178 0
-192 -67 34 0
-200 -18 117 0
-165 -141 -137 0
-144 24 27 0
-56 20 96 0
-197 -25 195 0
-179 -64 10 0
-187 -11 20 0
-41 40 66 0
-123 13 127 0
-33 70 104 0
-132 -80 142 0
-144 -143 141 0
-131 -29 49 0
116 137 190 0
-125 8 153 0
-113 -102 -62 0
-180 1 74 0
-59 -3 100 0
67 89 138 0
-94 1 69 0
-145 -131 101 0
-155 80 118 0
22 38 72 0
-184 -109 -108 0
-94 -91 -85 0
-185 -153 175 0
-3 2 51 0
-82 -34 171 0
-125 97 199 0
-134 -18 141 0
64 141 156 0
-159 -29 111 0
-108 101 164 0
-155 -27 48 0
39 56 173 0
-39 149 167 0
-194 -41 166 0
-26 85 139 0
-154 9 196 0
-106 -56 -36 0
-138 52 125 0
-93 -36 174 0
43 54 102 0
-183 146 169 0
-199 -151 -11 0
-117 14 196 0
-121 -36 78 0
-34 2 130 0
-129 -117 189 0
-195 -105 14 0
-174 -22 7 0
-87 -20 50 0
-108 -58 -37 0
-126 -61 152 0
-116 -76 34 0
-42 101 165 0
-9 49 142 0
-175 -137 159 0
-123 -93 160 0
-6 31 49 0
-138 38 93 0
-134 -97 -45 0
-192 -85 91 0
-85 6 165 0
-100 5 6 0
9 27 123 0
-138 -5 170 0
55 93 129 0
-71 98 160 0
-48 55 125 0
-72 -6 87 0
106 122 187 0
23 182 194 0
-91 -62 7 0
-57 86 105 0
-143 -71 42 0
-168 -121 117 0
-126 -29 167 0
-157 -28 50 0
22 30 68 0
-44 19 28 0
-134 -74 -35 0
90 140 149 0
-157 -94 58 0
-71 -19 124 0
-119 -2 155 0
-103 -22 150 0
-49 -34 55 0
-189 56 72 0
-120 161 192 0
-197 43 58 0
-79 96 104 0
-72 144 185 0
-71 -27 94 0
-127 -88 -55 0
-128 -122 42 0
-83 46 168 0
-159 -101 15 0
