CNF 100 200
4 35 55 0
-18 70 82 0
-64 -7 -1 0
-63 43 94 0
-88 -72 -29 0
-82 -18 29 0
32 53 75 0
-26 -9 54 0
-63 13 22 0
-61 -18 81 0
-95 -92 75 0
-95 -17 80 0
-32 -20 52 0
-95 54 98 0
-94 -78 82 0
-74 -45 60 0
-40 53 96 0
37 53 84 0
-69 -18 15 0
-70 -20 -9 0
-9 -8 99 0
11 13 72 0
-34 -27 2 0
-14 -6 77 0
-86 -30 63 0
-94 5 28 0
-65 -42 -4 0
-32 -26 54 0
-10 22 100 0
1 55 66 0
-7 47 77 0
13 20 66 0
-59 -20 71 0
-25 66 90 0
-37 -29 97 0
-68 -57 -37 0
-86 -33 4 0
-71 -38 -1 0
-12 17 23 0
-67 -65 -6 0
-63 9 86 0
-63 -39 48 0
21 81 84 0
-89 -76 10 0
-79 -33 36 0
-94 -19 -12 0
-8 15 51 0
10 43 63 0
-87 -81 74 0
-86 -82 -27 0
-62 12 42 0
-40 -32 85 0
-79 -42 -36 0
-85 -20 -10 0
49 60 65 0
-64 19 31 0
-86 -60 100 0
-67 -33 76 0
-69 -43 -10 0
-92 -24 -3 0
-4 67 85 0
-54 7 63 0
-56 10 73 0
-96 -9 -1 0
-90 -31 -12 0
-55 -47 97 0
-24 41 88 0
-82 -67 -44 0
-3 13 26 0
-97 -85 -29 0
-57 -33 -25 0
-99 -68 -40 0
-86 -42 27 0
-85 -52 -12 0
-43 -33 -27 0
-55 -43 29 0
-38 50 90 0
-49 -2 92 0
-10 46 66 0
-76 -34 53 0
-9 11 71 0
-81 -71 35 0
-21 22 40 0
-38 -13 71 0
-54 -33 -32 0
-91 69 93 0
-89 -1 13 0
-33 -13 6 0
-77 -17 34 0
-55 29 37 0
-91 -70 -44 0
37 75 98 0
-62 33 47 0
-15 8 94 0
20 47 83 0
-53 1 100 0
-90 17 50 0
-73 -13 76 0
-86 -38 23 0
-84 -13 97 0
-88 -53 -34 0
-17 -16 87 0
-92 -32 18 0
-35 12 59 0
-8 -7 66 0
-28 -25 66 0
-75 -32 22 0
-34 32 67 0
-16 -10 20 0
-83 -46 51 0
-96 -73 76 0
-29 43 52 0
9 49 97 0
-73 -38 68 0
-84 -52 9 0
-99 -50 -47 0
-19 1 55 0
-56 18 69 0
-75 81 88 0
-48 52 99 0
-85 20 50 0
46 72 77 0
-70 93 99 0
-37 20 59 0
34 47 56 0
-100 -71 -9 0
-82 -53 -4 0
-84 71 82 0
-75 9 21 0
-91 -58 93 0
-29 6 60 0
30 46 75 0
-80 89 97 0
-98 -35 67 0
-18 42 65 0
-57 -45 17 0
-56 -54 23 0
-97 -89 18 0
-7 -4 77 0
-99 -51 62 0
-35 -24 -7 0
-73 -53 41 0
-54 -42 -1 0
-62 -43 -19 0
-58 4 24 0
-60 82 98 0
-4 63 81 0
46 62 73 0
-93 -58 89 0
-12 15 30 0
-95 24 25 0
-40 31 41 0
-51 22 76 0
7 23 83 0
-34 29 46 0
-19 95 99 0
-68 -45 -13 0
-90 -83 33 0
-67 -23 24 0
-85 12 52 0
-50 21 76 0
-71 -59 -22 0
-68 -33 74 0
-42 -39 59 0
58 77 100 0
-29 43 95 0
-42 -33 -19 0
-70 -65 -29 0
-56 -19 33 0
23 45 50 0
-69 -32 58 0
-64 48 87 0
-70 12 30 0
-61 -5 84 0
-80 -1 67 0
-66 65 78 0
-38 -17 -13 0
-56 34 39 0
-40 -19 51 0
-12 26 92 0
-24 -10 65 0
-60 -32 23 0
-74 35 61 0
-28 85 94 0
-95 15 46 0
17 36 88 0
-45 -17 -1 0
-99 -57 85 0
-94 -86 19 0
-49 18 50 0
-43 -8 22 0
-66 -31 78 0
-82 34 47 0
-98 -14 69 0
-77 -10 13 0
-97 78 79 0
-95 -4 32 0
-36 -34 -28 0
30 50 89 0
-100 -62 -12 0
