CNF 50 200
-39 -22 29 0
-43 -22 -7 0
-48 6 19 0
-41 -15 -10 0
-38 -31 32 0
-22 46 50 0
-41 -40 7 0
-38 10 42 0
-14 7 22 0
10 15 27 0
-35 11 43 0
-17 -8 20 0
-35 -16 -10 0
-37 -10 -8 0
-39 -22 -15 0
7 14 16 0
-19 -13 9 0
-32 -25 42 0
-37 6 40 0
-38 3 41 0
-44 33 48 0
-39 17 44 0
-21 2 18 0
-21 -16 50 0
4 15 47 0
-46 -35 33 0
-24 -9 15 0
-10 -8 45 0
-45 32 40 0
-28 -20 -10 0
-37 16 49 0
-26 23 45 0
-34 16 22 0
7 41 46 0
-42 -17 -15 0
-16 -3 7 0
-36 27 28 0
-50 -18 24 0
3 9 16 0
-20 24 25 0
-41 17 42 0
-48 -24 42 0
-44 -15 -14 0
-44 -39 -24 0
-3 27 38 0
-46 6 32 0
-30 11 15 0
-24 11 39 0
-19 -8 14 0
-46 9 16 0
-44 -9 19 0
-50 -31 18 0
-33 -3 27 0
-46 1 14 0
-44 1 33 0
-35 -18 30 0
-46 -2 12 0
-11 45 46 0
-37 -36 -14 0
11 23 37 0
-48 -11 24 0
-27 19 49 0
-25 9 28 0
-43 -9 49 0
-34 19 42 0
-39 -38 21 0
-31 -11 29 0
-50 -24 19 0
-32 6 11 0
-50 -12 27 0
-34 -22 29 0
-8 -7 20 0
-40 -35 -26 0
-36 -32 48 0
-19 -12 10 0
-40 -21 32 0
-45 -39 14 0
-18 3 26 0
-26 1 12 0
-25 7 24 0
-29 22 28 0
3 17 18 0
3 18 24 0
-37 6 13 0
20 26 35 0
-19 -16 34 0
-18 15 45 0
-46 -37 2 0
-48 -10 -5 0
1 2 29 0
-39 -35 12 0
-24 6 15 0
-37 13 23 0
-47 -27 -20 0
-22 9 48 0
-16 -12 44 0
-16 29 31 0
-5 7 38 0
-42 -38 44 0
-31 -24 43 0
-30 -27 -20 0
-17 19 42 0
-40 -24 -13 0
-6 8 32 0
-13 4 33 0
-45 -29 -21 0
-48 -31 3 0
-21 14 38 0
-41 -38 -11 0
-3 21 40 0
-43 22 32 0
-47 -5 25 0
-49 1 41 0
-22 14 19 0
-2 1 39 0
-36 19 20 0
10 15 34 0
-34 -23 33 0
-35 -16 22 0
-20 -17 11 0
13 26 41 0
-34 -14 27 0
3 10 22 0
-39 -20 -3 0
-23 -3 10 0
13 17 35 0
29 32 33 0
-6 -1 38 0
-45 7 14 0
-47 -40 -16 0
-39 -3 11 0
-43 -3 40 0
-22 -1 6 0
-40 -18 24 0
-31 -21 -9 0
-27 8 21 0
-36 -29 22 0
-22 -20 8 0
-50 -31 4 0
-47 -1 23 0
-25 -1 9 0
-28 -27 16 0
-38 16 42 0
-48 -33 -31 0
-33 -16 11 0
-25 -13 38 0
-19 6 42 0
-43 -9 42 0
-38 -5 44 0
13 14 37 0
-44 20 38 0
-1 20 36 0
-33 -28 -9 0
-39 -36 -5 0
-30 -15 -6 0
-40 38 44 0
-12 11 42 0
-22 16 37 0
-47 -42 9 0
-46 2 44 0
-38 9 36 0
-34 -5 42 0
-42 -10 -6 0
-19 35 41 0
-9 13 27 0
-28 19 38 0
-40 -15 13 0
-42 -33 -3 0
-19 -11 21 0
-39 35 46 0
-35 -25 -9 0
-33 -24 4 0
-10 7 8 0
-44 -1 17 0
-30 -5 43 0
-33 22 24 0
1 32 34 0
-4 27 49 0
-37 -13 40 0
-19 28 43 0
-37 -17 33 0
-30 -23 8 0
-46 -6 28 0
30 34 49 0
-17 3 40 0
-19 -1 25 0
-12 10 17 0
-24 21 37 0
-35 -17 32 0
-36 15 33 0
-24 6 34 0
-35 37 48 0
-33 29 46 0
-31 1 48 0
-48 -45 -31 0
-48 -18 28 0
-19 -6 21 0
15 23 41 0
-46 -2 10 0
-35 -20 15 0
