CNF 100 100
-99 -75 -19 0
-77 -34 75 0
-15 35 60 0
-27 21 80 0
-74 -46 15 0
-92 7 8 0
-72 -45 70 0
-37 1 46 0
-43 45 83 0
-17 28 43 0
21 35 89 0
-98 -66 86 0
-55 -37 43 0
-51 -37 99 0
-28 -1 68 0
-42 18 46 0
6 17 59 0
-52 -17 56 0
-69 -8 91 0
-79 -44 28 0
-26 9 46 0
-71 -35 -9 0
-35 11 50 0
-75 -50 47 0
-62 -34 -31 0
-76 45 81 0
35 67 90 0
-94 -30 100 0
-31 4 66 0
-32 4 84 0
-44 -37 -13 0
13 17 74 0
-37 47 73 0
-22 -21 4 0
-47 30 67 0
-74 27 76 0
-32 -20 78 0
-76 -33 -28 0
3 56 99 0
22 56 92 0
-89 32 63 0
-79 22 81 0
-55 -3 50 0
-62 61 76 0
59 61 73 0
-16 9 60 0
-98 -9 36 0
-79 -37 -16 0
-69 -21 50 0
-43 -14 96 0
-85 -70 59 0
-90 -73 49 0
-87 -75 -12 0
-55 -30 20 0
-53 38 58 0
-99 -59 -52 0
-44 29 91 0
-66 27 90 0
-37 6 39 0
-86 36 40 0
-71 -24 51 0
-67 -8 37 0
-45 -17 37 0
-33 -1 79 0
-97 -59 34 0
-94 82 86 0
-18 23 76 0
-94 -70 26 0
-96 43 89 0
-98 -70 99 0
-62 -50 -32 0
-11 47 58 0
-2 34 59 0
-100 -19 -8 0
-10 48 78 0
-75 -69 49 0
-32 20 55 0
-16 24 62 0
-80 -67 -24 0
-74 82 100 0
-98 -87 -32 0
-31 43 76 0
-97 -85 52 0
-74 -30 87 0
-89 -1 20 0
-90 -88 -66 0
54 93 97 0
-56 -53 -49 0
-61 -25 81 0
-73 -20 -17 0
-32 -2 69 0
-53 4 96 0
-10 16 36 0
-35 50 96 0
-29 -21 43 0
-29 7 92 0
-93 -82 -63 0
-9 82 92 0
-77 -40 1 0
-53 28 83 0
