CNF 50 100
-29 -4 24 0
-16 29 43 0
-45 -29 -26 0
-10 1 5 0
-4 11 39 0
6 36 47 0
-41 -4 24 0
-27 20 23 0
4 6 17 0
-44 34 47 0
-40 -14 -2 0
-45 -34 27 0
-46 -42 12 0
-50 -19 -16 0
-50 14 28 0
-32 -16 47 0
-43 16 41 0
-9 38 42 0
-13 12 27 0
-48 -34 -32 0
-49 25 26 0
-4 23 25 0
-37 -28 11 0
-47 -39 41 0
-24 -8 -5 0
-21 -12 36 0
-30 -22 20 0
-22 -7 -3 0
-28 17 47 0
-43 9 44 0
2 17 22 0
-49 -9 7 0
8 24 44 0
-18 -12 3 0
-25 15 23 0
-34 1 46 0
-3 5 16 0
-43 -12 27 0
-41 -23 36 0
-13 -11 -2 0
-12 23 28 0
-44 -30 26 0
13 16 41 0
-28 -25 4 0
-30 38 47 0
3 24 35 0
-21 3 9 0
-46 27 32 0
13 43 49 0
-12 -7 32 0
-19 16 23 0
-9 -7 34 0
-40 -28 32 0
25 26 34 0
-13 45 50 0
-33 41 46 0
-38 -16 -9 0
-48 -38 42 0
-37 -35 45 0
-38 1 7 0
-44 6 23 0
-27 -18 11 0
-30 -24 -9 0
12 24 40 0
-36 -32 9 0
-18 -11 36 0
-34 43 48 0
6 16 41 0
-23 15 29 0
-33 10 48 0
-18 -13 47 0
-42 24 40 0
-10 5 45 0
-36 -3 47 0
-34 6 46 0
-43 28 32 0
-10 3 30 0
31 34 39 0
-22 -11 13 0
-44 -39 -14 0
1 10 22 0
-39 -8 12 0
-46 -18 9 0
-8 17 50 0
-1 39 42 0
1 13 33 0
-23 -20 13 0
22 29 48 0
1 25 31 0
-26 24 35 0
-23 3 40 0
-38 -2 30 0
-49 -20 28 0
-41 3 29 0
-8 5 32 0
-39 -25 27 0
-18 10 11 0
-37 -23 38 0
-30 -17 44 0
5 17 25 0
